CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
10082,AMST,215,1,Intr. To American Studies,3,AS,24,-4,12:30,13:45,NICELY,323,false,true,false,true,false,false,Suzanne,Enzerink
10083,AMST,275AV,1,ST: Intr. to Photojournalism,3,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10084,AMST,275AW,1,ST: Journalism and Society,3,AS,2,3,15:30,16:45,NICELY,410,true,false,true,false,false,false,Rabie,Barakat
10085,AMST,275M,1,Sp.Tp:Drama,3,AS,1,4,15:30,16:45,NICELY,321,true,false,true,false,false,false,Robert,Myers
10086,ARAB,101,1,Readings in Arabic Heritage I,3,AS,24,-1,09:30,10:45,NICELY,320,false,true,false,true,false,false,Tarif,Bazzi
10087,ARAB,201,1,Issues in Contempor.Arab Cult.,3,AS,23,0,08:00,09:15,REYNOL,533,false,true,false,true,false,false,Raghda,Nahas El-Zein
10088,ARAB,201,2,Issues in Contempor.Arab Cult.,3,AS,23,0,09:30,10:45,REYNOL,533,false,true,false,true,false,false,Raghda,Nahas El-Zein
10089,ARAB,201,3,Issues in Contempor.Arab Cult.,3,AS,21,2,11:00,12:15,REYNOL,533,false,true,false,true,false,false,Raghda,Nahas El-Zein
10090,ARAB,201,4,Issues in Contempor.Arab Cult.,3,AS,24,-1,14:00,15:15,REYNOL,533,true,false,true,false,false,false,Sina,Moukaled
10091,ARAB,201,5,Issues in Contempor.Arab Cult.,3,AS,23,0,15:30,16:45,REYNOL,533,true,false,true,false,false,false,Sina,Moukaled
10092,ARAB,201,6,Issues in Contempor.Arab Cult.,3,AS,24,-1,12:30,13:45,REYNOL,533,true,false,true,false,false,false,Sina,Moukaled
10094,ARAB,202,1,Arab Technical Writing,3,AS,20,0,13:00,13:50,NICELY,107,true,false,true,false,true,false,Samir,Malti
10095,ARAB,202,2,Arab Technical Writing,3,AS,21,-1,11:00,11:50,NICELY,107,true,false,true,false,true,false,Samir,Malti
10096,ARAB,202,3,Arab Technical Writing,3,AS,20,0,12:00,12:50,NICELY,107,true,false,true,false,true,false,Samir,Malti
10097,ARAB,203,1,Beg Arab as Foreign Lang. I,3,AS,11,0,12:00,13:59,ADAD,209,true,false,false,false,false,false,Rima,Sultani  Kanawaty
10098,ARAB,204,1,Beg Arabic as Foreign Lang II,3,AS,7,-1,10:00,11:59,ADAD,212,true,false,false,false,false,false,Rima,Sultani  Kanawaty
10099,ARAB,205,1,Interm Arab as Foreign LangIII,3,AS,3,-2,08:00,09:59,ADAD,212,true,false,false,false,false,false,Rima,Semaan
10100,ARAB,206,1,Interm Arab as Foreign Lang IV,3,AS,4,-1,10:00,11:59,ADAD,209,true,false,false,false,false,false,Rima,Semaan
10101,ARAB,207,1,Advan.Arab.as Foreign Lang.I,3,AS,2,0,09:30,10:45,ADAD,212,false,true,false,true,false,false,Rima,Sultani  Kanawaty
10102,ARAB,209,1,Adv.Arab.as Foreign Lang.III,3,AS,2,0,12:00,13:29,ADAD,212,true,false,true,false,false,false,Rima,Semaan
10103,ARAB,210A,1,Writing Prose,3,AS,13,-3,15:30,18:00,NICELY,105,false,true,false,false,false,false,Rachid,El Daif
13147,ARAB,210A,2,Writing Prose,3,AS,11,-1,15:30,18:00,NICELY,108,false,false,true,false,false,false,Rachid,El Daif
10104,ARAB,211,1,Survey of Arabic Grammar,3,AS,25,0,11:00,12:15,NICELY,101,false,true,false,true,false,false,Tarif,Bazzi
10107,ARAB,223,1,Media Arabic,3,AS,19,1,12:30,13:45,NICELY,108,true,false,true,false,false,false,Jihad,El Mallah
10110,ARAB,230,1,Themes & Genres of Arab Lit.,3,AS,23,0,17:00,18:15,REYNOL,533,true,false,true,false,false,false,Sina,Moukaled
10113,ARAB,235,1,Andalusian Literature,3,AS,24,-1,11:00,12:15,NICELY,105,false,true,false,true,false,false,Maher,Jarrar
10114,ARAB,236,1,Qur'anic Studies,3,AS,18,-3,15:30,17:59,NICELY,101,true,false,false,false,false,false,Radwan,El Sayed Ahmad
10115,ARAB,237,1,Modern Arabic Poetry I,3,AS,24,1,15:30,16:45,NICELY,206,false,true,false,true,false,false,Jawdat,Fakhreddine
10118,ARAB,244,1,Muslim Schools of Theology,3,AS,26,-1,14:00,15:15,NICELY,101,true,false,true,false,false,false,Radwan,El Sayed Ahmad
10119,ARAB,245,1,Backgrnd Stud Mod Arab Litr I,3,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10120,ARAB,249,1,Sufi Literature,3,AS,21,0,15:30,16:44,NICELY,107,true,false,true,false,false,false,Riccardo,Paredi
10121,ARAB,251AA,1,Sp.Tp: Society in Literature,3,AS,22,1,10:00,10:50,NICELY,107,true,false,true,false,true,false,Samir,Malti
10122,ARAB,251AF,1,ST History in Literature,3,AS,22,1,12:30,13:45,NICELY,101,false,true,false,true,false,false,Zeina,Halabi
10124,ARAB,251AN,1,ST: Translation of Poetry,3,AS,8,0,17:00,18:15,NICELY,410,false,true,false,true,false,false,Rula,Baalbaki
10125,ARAB,251AP,1,ST:Women Writers of Mid.East,3,AS,25,0,17:00,18:15,NICELY,107,false,true,false,true,false,false,Alireza,Korangy
10126,ARAB,251AR,1,S.T:Satire in Arab literature,3,AS,23,0,14:00,15:15,NICELY,411,false,true,false,true,false,false,Maha,Abdelmegeed
10127,ARAB,251W,1,Sp.Tp: Nahda in periodicals,3,AS,24,-1,12:30,13:45,REYNOL,533,false,true,false,true,false,false,Raghda,Nahas El-Zein
10128,ARAB,254,1,The City in Arabic Literature,3,AS,23,0,15:30,16:45,NICELY,412,false,true,false,true,false,false,Zeina,Halabi
10130,ARAB,303N,1,Sm.Visual&Literay Islamic West,3,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13238,ARAB,303O,1,GS:Approaches to Style& Voice,3,AS,6,4,17:00,19:30,COLL,406,false,false,false,true,false,false,Maha,Abdelmegeed
10131,ARAB,317B,1,Grd.Sem:Adv.Semetics Or Lingui,3,AS,8,2,17:30,20:00,COLL,406,false,true,false,false,false,false,Ramzi,Baalbaki
13333,ARAB,390X,1,Tut Jahliya in Arab.Lit.,3,AS,1,0,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
13348,ARAB,390Y,1,Tut.Arab.Lexicographical texts,3,AS,1,0,.,.,.,.,false,false,false,false,false,false,Ramzi,Baalbaki
10132,ARAB,395A,1,Comprehensive Exam,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10133,ARAB,399,1,M.A. Thesis,7.2,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maha,Abdelmegeed
10134,ARAB,399,2,M.A. Thesis,7.2,AS,0,5,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10135,ARAB,399,3,M.A. Thesis,7.2,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maher,Jarrar
10136,ARAB,399,4,M.A. Thesis,7.2,AS,1,4,.,.,.,.,false,false,false,false,false,false,Ramzi,Baalbaki
10137,ARAB,399,5,M.A. Thesis,7.2,AS,0,5,.,.,.,.,false,false,false,false,false,false,Zeina,Halabi
10138,ARAB,399,7,M.A. Thesis,7.2,AS,0,5,.,.,.,.,false,false,false,false,false,false,Enass,Khansa
10139,ARAB,399A,1,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10140,ARAB,399A,2,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Ramzi,Baalbaki
10141,ARAB,399A,3,M.A. Thesis,0,AS,1,4,.,.,.,.,false,false,false,false,false,false,Maha,Abdelmegeed
10142,ARAB,399A,4,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Mahmoud,Al-Batal
10143,ARAB,399A,5,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Zeina,Halabi
10144,ARAB,399A,6,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Enass,Khansa
10145,ARAB,399A,7,M.A. Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maher,Jarrar
10146,ARAB,399B,1,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maher,Jarrar
10147,ARAB,399B,2,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Ramzi,Baalbaki
10148,ARAB,399B,3,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maha,Abdelmegeed
10149,ARAB,399B,4,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Mahmoud,Al-Batal
10150,ARAB,399B,5,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10151,ARAB,399B,6,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Enass,Khansa
10152,ARAB,399B,7,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Zeina,Halabi
10153,ARAB,399C,1,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10154,ARAB,399C,2,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maha,Abdelmegeed
10155,ARAB,399C,3,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Mahmoud,Al-Batal
10156,ARAB,399C,4,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Ramzi,Baalbaki
10157,ARAB,399C,5,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Zeina,Halabi
10158,ARAB,399C,6,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Enass,Khansa
10159,ARAB,399C,7,M.A.Thesis,0,AS,0,5,.,.,.,.,false,false,false,false,false,false,Maher,Jarrar
13343,ARAB,399E,1,M.A.Thesis,1,AS,1,-1,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10160,ARAB,480,1,Qualifying Exam I:Compr.Exam,0,AS,1,4,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10161,ARAB,481,1,Qual.Exam II:Def.Thesis Prop.,0,AS,2,3,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
10162,ARAB,484,1,PhD Thesis,0,AS,1,4,.,.,.,.,false,false,false,false,false,false,Bilal,Orfali
13233,ARAB,484A,1,PhD Thesis,0,AS,1,4,.,.,.,.,false,false,false,false,false,false,Mahmoud,Al-Batal
10163,ARAB,484B,1,PhD Thesis,0,AS,0,3,.,.,.,.,false,false,false,false,false,false,Kassim,Shaaban
13069,ARCH,015,1,Micro Devices,3,EA,24,-4,11:00,12:20,.,.,false,true,false,true,false,false,Carla,Aramouny
13070,ARCH,020A,1,Spatial Politics of Revolution,3,EA,22,-2,14:00,15:20,BECHTA,111,false,true,false,true,false,false,Ghazal,Abbasy-Asbagh
13074,ARCH,023,1,From Urban Des.to Lands.Urbani,3,EA,7,3,15:30,18:20,.,.,false,true,false,false,false,false,Robert,Saliba
13067,ARCH,040,1,Making It,3,EA,16,4,09:30,10:50,.,.,false,true,false,true,false,false,Karim,Najjar
13071,ARCH,072,1,Earth: Design and Building,3,EA,17,3,15:30,18:20,BECHTA,203,false,false,false,true,false,false,Salma Samar,Damluji
10164,ARCH,100,1,Basic Design,6,EA,73,2,14:00,19:00,ANNEX,101,false,true,false,false,true,false,Rana,Haddad
10165,ARCH,111,1,Drawing I,3,EA,31,-1,09:45,12:45,ANNEX,101,true,false,true,false,false,false,Etienne,Bastormagi
13214,ARCH,111,2,Drawing I,3,EA,17,8,12:45,15:45,.,.,true,false,true,false,false,false,Etienne,Bastormagi
10166,ARCH,121,1,History of Art &Architecture I,3,EA,81,4,08:00,09:20,MAMC,ELH,true,false,true,false,false,false,Umit Firat,Acikgoz
10167,ARCH,202,1,Architecture Design II,6,EA,29,16,14:00,18:00,FS1,206,true,false,true,false,true,false,Karim,Najjar
10168,ARCH,223,1,History of Art & Archit. III,3,EA,43,37,10:00,11:20,MAMC,ELH,false,false,true,false,true,false,Umit Firat,Acikgoz
10169,ARCH,242,1,Building Construction I,3,EA,17,0,13:00,15:30,.,.,false,true,false,true,false,false,Sany,Jamal
13234,ARCH,242,2,Building Construction I,3,EA,16,0,16:00,18:30,.,.,false,true,false,true,false,false,Sany,Jamal
10170,ARCH,252,1,Structural Systems,3,EA,29,6,12:00,13:20,BECHTA,111,true,false,true,false,false,false,Amer,Elsouri
10171,ARCH,304,1,Architecture Design IV,6,EA,34,6,14:00,18:00,FS1,305,true,false,true,false,true,false,Serge,Yazigi
10172,ARCH,313,1,Digital Tools,3,EA,20,-1,09:30,10:50,SRB,217,false,true,false,true,false,false,Ghazal,Abbasy-Asbagh
10173,ARCH,313,2,Digital Tools,3,EA,15,3,11:00,12:20,SRB,207,false,true,false,true,false,false,Roland,Bou Nassr
10174,ARCH,360,1,Environm.I  Climate Responsive,3,EA,35,3,11:00,12:20,IOEC,224A,true,false,true,false,false,false,Aram,Yeretzian
10175,ARCH,406,1,Architecture Design V,6,EA,32,3,14:00,18:00,FS1,401,true,false,true,false,true,false,Aram,Yeretzian
10176,ARCH,508,1,Design Thesis I,6,EA,27,1,08:00,08:50,FS1,406,false,false,false,false,false,true,Sinan,Hassan
10177,ARCH,509,1,Design Thesis II,6,EA,0,0,08:00,08:50,FS1,406,false,false,false,false,false,false,.,STAFF
10178,AROL,101,1,Introduction to Archaeology,3,AS,25,0,09:30,10:45,NICELY,108,false,true,false,true,false,false,Jack,Nurpetlian
