CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
10782,CHEN,675,1,Tissue Engineering,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10783,CHEN,796,1,Eng'g Literature Critique,1,EA,3,2,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10784,CHEN,797,1,Seminar,0,EA,24,6,12:30,13:50,BECHTA,211,false,false,false,true,false,false,Kassem,Ghorayeb
10785,CHEN,798,1,Sp.Tp.in Chemical Eng.I,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10786,CHEN,798,2,Sp.Tp.in Chemical Eng.I,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10787,CHEN,798,3,Sp.Tp.in Chemical Eng.I,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10788,CHEN,798,4,Sp.Tp.in Chemical Eng.I,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10789,CHEN,799,1,Thesis,7.14,EA,1,9,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10790,CHEN,799A,1,Thesis,0,EA,3,2,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10791,CHEN,799B,1,Thesis,0,EA,1,4,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10792,CHEN,799C,1,Thesis,0,EA,0,5,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10793,CHEN,799D,1,Thesis,1,EA,1,4,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10794,CHEN,799E,1,Thesis,1,EA,0,5,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
13404,CHEN,799F,1,Thesis,1,EA,1,0,08:00,08:50,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10795,CHEN,799T,1,Master's Comprehensive Exam,0,EA,3,7,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10796,CHEN,799TR,1,Master's Comprehensive Exam,0,EA,1,4,.,.,.,.,false,false,false,false,false,false,Mohammad N,Ahmad
10797,CHIN,201,1,Chinese I,3,AS,21,1,08:00,08:50,NICELY,209,true,false,true,false,true,false,Fen,Yu
10798,CHIN,201,2,Chinese I,3,AS,20,2,09:00,09:50,NICELY,327,true,false,true,false,true,false,Fen,Yu
10799,CIVE,201,1,Eng'g Drawings & Tools,3,EA,0,0,09:00,09:50,.,.,true,false,true,false,true,false,.,STAFF
10800,CIVE,201,2,Eng'g Drawings & Tools,3,EA,32,-2,10:00,10:50,SRB,413,true,false,true,false,true,false,Farah,Demachkieh
10801,CIVE,210,1,Statics,3,EA,39,1,08:00,08:50,IOEC,224A,true,false,true,false,false,false,Fatima,El Meski
10802,CIVE,210,2,Statics,3,EA,32,-4,09:00,09:50,IOEC,224A,true,false,true,false,false,false,Mounir,Mabsout
10803,CIVE,210,3,Statics,3,EA,39,1,10:00,10:50,IOEC,224A,true,false,true,false,false,false,Fatima,El Meski
10804,CIVE,210,4,Statics,3,EA,42,-2,11:00,11:50,BECHTA,110,true,false,true,false,false,false,Mounir,Mabsout
10805,CIVE,210,5,Statics,3,EA,35,5,09:00,09:50,BECHTA,201,true,false,true,false,false,false,Amer,Elsouri
10806,CIVE,210,6,Statics,3,EA,41,-1,09:30,10:50,MAMC,207,false,true,false,true,false,false,Mounir,Mabsout
13040,CIVE,251,1,Environmental Chemistry,3,EA,0,0,08:00,09:20,BECHTA,202,false,true,false,true,false,false,Rana,Bilbeisi
10807,CIVE,252,1,Environmental Microbiology,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10808,CIVE,310,2,Mechanics of Materials,3,EA,41,-1,11:00,12:20,BECHTA,107,false,true,false,true,false,false,George,Saad
10809,CIVE,311,1,Theory of Structures,3,EA,19,11,11:00,11:50,BECHTA,205,false,false,false,false,true,false,Hisham,Basha
10810,CIVE,340,1,Fluid Mechanics & Laboratory,3,EA,33,7,14:00,15:20,BECHTA,204,true,false,true,false,false,false,Habib,Basha
10811,CIVE,370,1,Construct.Materials & Technol.,3,EA,17,3,12:00,12:50,BECHTA,203,true,false,true,false,false,false,Helmi,El-Khatib
10812,CIVE,370,2,Construct.Materials & Technol.,3,EA,19,1,12:00,12:50,BECHTA,203,true,false,true,false,false,false,Helmi,El-Khatib
10813,CIVE,401,1,Final Year Project I,3,EA,98,32,13:00,14:50,MAMC,ELH,false,false,false,false,false,false,Alissar,Yehya
10814,CIVE,401A,1,Final Year Project I,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10815,CIVE,411,1,Indeterminat.Structural Analys,3,EA,32,3,14:00,15:15,IOEC,224A,true,false,true,false,false,false,Mayssa,Dabaghi
10816,CIVE,412,1,Steel Design,3,EA,27,3,15:00,17:50,BECHTA,107,false,false,false,false,true,false,Hisham,Basha
10817,CIVE,413,1,Concrete Design I,3,EA,26,4,09:00,09:50,MAMC,207,true,false,true,false,true,false,Muhamad,Harajli
10818,CIVE,413,2,Concrete Design I,3,EA,30,0,10:00,11:30,IOEC,224B,true,false,true,false,true,false,Amer,Elsouri
10819,CIVE,414,1,Concrete Design II,3,EA,32,-2,12:00,13:50,BECHTA,202,true,false,true,false,false,false,Bilal,Hamad
10820,CIVE,421,1,Construction Management,3,EA,34,1,09:30,10:50,BECHTA,211,false,true,false,true,false,false,Farah,Demachkieh
10821,CIVE,422,1,Const Methods &Safety,3,EA,35,0,11:00,12:20,MAMC,207,false,true,false,true,false,false,Hiam,Khoury
10822,CIVE,430,1,Soil Mechanics & Laboratory,3,EA,22,0,09:00,09:50,BECHTA,110,true,false,true,false,false,false,Salah,Sadek
10823,CIVE,430,2,Soil Mechanics & Laboratory,3,EA,23,0,09:00,09:50,BECHTA,110,true,false,true,false,false,false,Salah,Sadek
10824,CIVE,431,1,Foundation Engineering,3,EA,22,13,09:30,10:45,BECHTA,201,false,true,false,true,false,false,Shadi,Najjar
10825,CIVE,440,1,Hydraulics & Laboratory,3,EA,30,0,12:30,13:50,BECHTA,107,false,true,false,true,false,false,Lilian,Malaeb
10826,CIVE,440,2,Hydraulics & Laboratory,3,EA,29,1,14:00,15:20,IOEC,224B,false,true,false,true,false,false,Lilian,Malaeb
10827,CIVE,451,1,Contemporary Enviro Issues,3,EA,38,2,11:00,12:15,BECHTA,111,false,true,false,true,false,false,Darine,Salam
13292,CIVE,451,2,Contemporary Enviro Issues,3,EA,23,7,15:30,16:50,BECHTA,201,false,true,false,true,false,false,Darine,Salam
10828,CIVE,460,1,Transportation Eng'g &Laborat.,3,EA,30,0,09:30,10:45,IOEC,224B,false,true,false,true,false,false,Maya,Abou Zeid
10829,CIVE,460,2,Transportation Eng'g &Laborat.,3,EA,26,4,14:00,15:15,IOEC,224A,false,true,false,true,false,false,Maya,Abou Zeid
10830,CIVE,461,1,Highway Engineering,3,EA,39,1,08:00,09:15,BECHTA,110,false,true,false,true,false,false,Harith,Abdulsattar
10831,CIVE,520,1,Construct.Contract Administrat,3,EA,18,2,12:30,13:50,BECHTA,204,false,true,false,true,false,false,Mohamed-Asem,Abdul Malak
10832,CIVE,520,2,Construct.Contract Administrat,3,EA,7,13,12:30,13:50,BECHTA,204,false,true,false,true,false,false,Mohamed-Asem,Abdul Malak
10833,CIVE,541,1,Engineering Hydrology,3,EA,35,0,12:30,13:50,BECHTA,204,true,false,true,false,false,false,Habib,Basha
10834,CIVE,550,1,Water Treatment &Laboratory,3,EA,18,7,11:00,12:15,BECHTA,209,false,true,false,true,false,false,George M.,Ayoub
10835,CIVE,550,2,Water Treatment &Laboratory,3,EA,8,17,12:00,13:50,.,.,false,false,false,false,true,false,George M.,Ayoub
13245,CIVE,553,1,Environmental Biotechnology,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13246,CIVE,553,2,Environmental Biotechnology,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10836,CIVE,600,1,Seminar in Civil Engineering,0,EA,28,122,12:30,13:50,MAMC,ELH,false,false,false,true,false,false,.,STAFF
10837,CIVE,601,1,GIS &Geospatial Data Modeling,3,EA,20,0,15:30,16:50,SRB,413,true,false,true,false,false,false,Ibrahim,Alameddine
10838,CIVE,601,2,GIS &Geospatial Data Modeling,3,EA,20,0,15:30,16:50,SRB,413,true,false,true,false,false,false,Ibrahim,Alameddine
10839,CIVE,610,1,Numeri.Metho.in Struct.Analys.,3,EA,3,17,15:30,16:50,BECHTA,208,false,true,false,true,false,false,George,Saad
10840,CIVE,610,2,Numeri.Metho.in Struct.Analys.,3,EA,8,12,15:30,16:50,BECHTA,208,false,true,false,true,false,false,George,Saad
10841,CIVE,613,1,Prestressed Concrete,3,EA,9,11,15:30,16:50,BECHTA,202,true,false,true,false,false,false,Muhamad,Harajli
10842,CIVE,613,2,Prestressed Concrete,3,EA,9,11,15:30,16:50,BECHTA,202,true,false,true,false,false,false,Muhamad,Harajli
10843,CIVE,629,1,Const.Business Management,3,EA,20,0,14:00,15:15,BECHTA,203,false,true,false,true,false,false,Hiam,Khoury
10844,CIVE,629,2,Const.Business Management,3,EA,10,10,14:00,15:15,BECHTA,203,false,true,false,true,false,false,Hiam,Khoury
10845,CIVE,633,1,Soil and Site Improvement,3,EA,19,1,08:00,09:15,BECHTA,204,false,true,false,true,false,false,Shadi,Najjar
10846,CIVE,633,2,Soil and Site Improvement,3,EA,3,17,08:00,09:15,BECHTA,204,false,true,false,true,false,false,Shadi,Najjar
10847,CIVE,645,1,Surfac.Water Qualit.Mode &Mang,3,EA,19,1,14:00,15:20,IOEC,224A,true,false,true,false,false,false,Ibrahim,Alameddine
10848,CIVE,645,2,Surfac.Water Qualit.Mode &Mang,3,EA,10,10,14:00,15:20,IOEC,224A,true,false,true,false,false,false,Ibrahim,Alameddine
10849,CIVE,662,1,Traffic Engineering,3,EA,21,-1,14:00,15:20,BECHTA,202,false,true,false,true,false,false,Harith,Abdulsattar
10850,CIVE,662,2,Traffic Engineering,3,EA,1,19,14:00,15:20,BECHTA,202,false,true,false,true,false,false,Harith,Abdulsattar
10851,CIVE,665,1,Transportation Economics,3,EA,16,4,08:30,09:50,MAMC,206,true,false,true,false,false,false,Isam,Kaysi
10852,CIVE,665,2,Transportation Economics,3,EA,2,18,08:30,09:50,MAMC,206,true,false,true,false,false,false,Isam,Kaysi
10853,CIVE,670,1,Concrete Technology,3,EA,19,1,17:00,18:15,BECHTA,205,false,true,false,true,false,false,Bilal,Hamad
10854,CIVE,670,2,Concrete Technology,3,EA,9,11,17:00,18:15,BECHTA,205,false,true,false,true,false,false,Bilal,Hamad
13041,CIVE,685,1,Envir.Sustain Renew.Ener.Sourc,3,EA,20,0,17:00,18:20,BECHTA,109,true,false,true,false,false,false,Rana,Bilbeisi
13042,CIVE,685,2,Envir.Sustain Renew.Ener.Sourc,3,EA,8,12,17:00,18:20,BECHTA,109,true,false,true,false,false,false,Rana,Bilbeisi
13033,CIVE,691A,1,Sp.Tp: Traffic Flow Analysis,3,EA,0,0,11:00,12:20,BECHTA,204,false,true,false,true,false,false,Harith,Abdulsattar
13034,CIVE,691A,2,Sp.Tp: Traffic Flow Analysis,3,EA,0,0,11:00,12:20,BECHTA,204,false,true,false,true,false,false,Harith,Abdulsattar
13035,CIVE,691B,1,ST: Engineering Sustainability,3,EA,20,0,15:30,16:50,BECHTA,204,false,true,false,true,false,false,Alissar,Yehya
13036,CIVE,691B,2,ST: Engineering Sustainability,3,EA,1,19,15:30,16:50,BECHTA,204,false,true,false,true,false,false,Alissar,Yehya
10855,CIVE,722,1,Proj.Deliverance & Contracts,3,EA,3,12,17:30,20:30,BECHTA,204,false,false,false,true,false,false,Mohamed-Asem,Abdul Malak
10856,CIVE,722,2,Proj.Deliverance & Contracts,3,EA,6,9,17:30,20:30,BECHTA,204,false,false,false,true,false,false,Mohamed-Asem,Abdul Malak
10857,CIVE,799,1,Thesis,7.14,EA,1,9,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10858,CIVE,799A,1,Thesis,0,EA,9,1,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10859,CIVE,799B,1,Thesis,0,EA,1,19,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10860,CIVE,799C,1,Thesis,0,EA,18,2,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10861,CIVE,799D,1,Thesis,1,EA,2,3,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10862,CIVE,799E,1,Thesis,1,EA,0,1,10:00,10:50,.,.,false,false,false,false,true,false,Mounir,Mabsout
13266,CIVE,799J,1,Thesis,1,EA,1,0,10:00,10:50,.,.,false,false,false,false,false,true,Mutasem,Fadel
10863,CIVE,799T,1,Comprehensive Exam,0,EA,7,43,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10864,CIVE,980,1,Qualifying Exam I:Compr.Exam,0,EA,1,19,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10865,CIVE,981,1,Qualif.Exam II:Def.ThesisProp,0,EA,4,16,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10866,CIVE,982,1,PhD Thesis,3,EA,1,19,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10867,CIVE,982A,1,PhD Thesis,3,EA,1,19,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10868,CIVE,982B,1,PhD Thesis,3,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10869,CIVE,982C,1,PhD Thesis,3,EA,1,9,07:00,07:01,.,.,false,false,false,false,true,false,Mohamed-Asem,Abdul Malak
10870,CIVE,983,1,PhD Thesis,6,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10871,CIVE,983A,1,PhD Thesis,6,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10872,CIVE,983B,1,PhD Thesis,6,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10873,CIVE,983C,1,PhD Thesis,6,EA,0,10,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10874,CIVE,984,1,PhD Thesis,9,EA,1,19,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10875,CIVE,984A,1,PhD Thesis,9,EA,2,18,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10876,CIVE,984B,1,PhD Thesis,9,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10877,CIVE,985,1,PhD Thesis,12,EA,0,20,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10878,CIVE,986,1,PhD Thesis,0,EA,3,17,12:00,12:50,.,.,false,false,false,false,true,false,Mohamed-Asem,Abdul Malak
10879,CIVE,986A,1,PhD Thesis,0,EA,0,20,15:00,15:50,.,.,false,false,false,false,true,false,Mounir,Mabsout
10880,CIVE,986B,1,PhD Thesis,0,EA,1,19,15:00,15:50,.,.,false,false,false,false,true,false,Mounir,Mabsout
10881,CIVE,987,1,PhD Thesis Defense,0,EA,4,16,.,.,.,.,false,false,false,false,false,false,Mohamed-Asem,Abdul Malak
10884,CMPS,200,B1,Introduction to Programming,0,AS,15,1,08:00,10:50,BLISS,114,false,true,false,false,false,false,Hussein,Banjak
10885,CMPS,200,B10,Introduction to Programming,0,AS,12,4,08:00,10:50,BLISS,134,false,true,false,false,false,false,Faten,Houjaij
10886,CMPS,200,B11,Introduction to Programming,0,AS,18,-2,11:00,13:50,BLISS,134,false,true,false,false,false,false,Ali,Yassine
10887,CMPS,200,B12,Introduction to Programming,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13226,CMPS,200,B13,Introduct. to Programming,0,AS,6,9,11:00,13:50,BLISS,133,false,false,false,true,false,false,Johnny,Bou Saab
13227,CMPS,200,B14,Introduct. to Programming,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
13291,CMPS,200,B15,Introduct. to Programming,0,AS,3,12,11:00,13:50,BLISS,012,false,false,false,true,false,false,Johnny,Bou Saab
10888,CMPS,200,B2,Introduction to Programming,0,AS,16,0,14:00,16:50,BLISS,134,false,false,false,true,false,false,Faten,Houjaij
10889,CMPS,200,B3,Introduction to Programming,0,AS,15,1,14:00,16:50,BLISS,134,false,true,false,false,false,false,Ghassan,Dib
10890,CMPS,200,B4,Introduction to Programming,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10891,CMPS,200,B5,Introduction to Programming,0,AS,17,-1,11:00,13:50,BLISS,134,false,false,false,true,false,false,Ghassan,Dib
10892,CMPS,200,B6,Introduction to Programming,0,AS,14,2,14:00,16:50,BLISS,114,false,false,true,false,false,false,Maher,Jaber
10893,CMPS,200,B7,Introduction to Programming,0,AS,14,2,08:00,10:50,BLISS,134,false,false,false,true,false,false,Hussein,Banjak
10894,CMPS,200,B8,Introduction to Programming,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,STAFF
10895,CMPS,200,B9,Introduction to Programming,0,AS,16,0,14:00,16:50,BLISS,133,false,false,false,true,false,false,Sami,Shames El Deen
10896,CMPS,200,L1,Introduction to Programming,3,AS,46,2,08:00,08:50,BLISS,203,true,false,true,false,true,false,Maurice,Khabbaz
10897,CMPS,200,L2,Introduction to Programming,3,AS,45,3,09:00,09:50,NICELY,211,true,false,true,false,true,false,Saeed,Raheel
10898,CMPS,200,L3,Introduction to Programming,3,AS,46,2,10:00,10:50,NICELY,415,true,false,true,false,true,false,Maurice,Khabbaz
13225,CMPS,200,L4,Introduct. to Programming,3,AS,9,21,13:00,13:50,NICELY,325,true,false,true,false,true,false,Loa,Aoude
10899,CMPS,207,B1,Programming for Digital Art,0,AS,7,8,15:00,17:50,BLISS,134,true,false,false,false,false,false,Alabbass,Khalil
10900,CMPS,207,B2,Programming for Digital Art,0,AS,4,11,15:00,17:50,BLISS,134,true,false,false,false,false,false,Alabbass,Khalil
10901,CMPS,207,L1,Programming for Digital Art,3,AS,11,19,09:30,10:45,NICELY,210,false,true,false,true,false,false,Loa,Aoude
10902,CMPS,208,B1,Computing for Business,0,AS,16,1,12:00,13:59,BLISS,011,false,true,false,false,false,false,Amine,Sobh
10903,CMPS,208,B10,Computing for Business,0,AS,18,-1,08:00,09:59,BLISS,133,false,true,false,false,false,false,Mohamed,El Hajj
10904,CMPS,208,B11,Computing for Business,0,AS,19,-2,14:00,15:59,BLISS,011,false,false,true,false,false,false,Batul,Musa
10905,CMPS,208,B12,Computing for Business,0,AS,18,-1,14:00,15:59,BLISS,011,true,false,false,false,false,false,Abbas,Chalha
10906,CMPS,208,B13,Computing for Business,0,AS,17,0,08:00,09:59,BLISS,011,false,true,false,false,false,false,Amine,Sobh
10907,CMPS,208,B14,Computing for Business,0,AS,18,-1,14:00,15:59,BLISS,011,false,true,false,false,false,false,Mohamed,El Hajj
10908,CMPS,208,B15,Computing for Business,0,AS,17,0,08:00,09:59,BLISS,011,false,false,false,true,false,false,Ali,Yassine
10909,CMPS,208,B2,Computing for Business,0,AS,17,0,10:00,11:59,BLISS,011,false,false,true,false,false,false,Mohamed,El Hajj
10910,CMPS,208,B3,Computing for Business,0,AS,17,0,08:00,09:59,BLISS,133,false,false,false,true,false,false,Abbas,Chalha
10911,CMPS,208,B4,Computing for Business,0,AS,16,1,10:00,11:59,BLISS,011,false,true,false,false,false,false,Mohamed,El Hajj
10912,CMPS,208,B5,Computing for Business,0,AS,14,3,12:00,13:59,BLISS,011,false,false,false,true,false,false,Mohamad,El-Hamwi
10913,CMPS,208,B6,Computing for Business,0,AS,18,-1,14:00,15:59,BLISS,011,false,false,false,false,true,false,Batul,Musa
10914,CMPS,208,B7,Computing for Business,0,AS,18,-1,12:00,13:59,BLISS,011,false,false,true,false,false,false,Mohamed,El Hajj
10915,CMPS,208,B8,Computing for Business,0,AS,17,0,14:00,15:59,BLISS,011,false,false,false,true,false,false,Ali,Yassine
10916,CMPS,208,B9,Computing for Business,0,AS,18,-1,14:00,15:59,BLISS,133,false,true,false,false,false,false,Amine,Sobh
10917,CMPS,208,L1,Computing for Business,3,AS,50,1,09:00,09:50,BLISS,205,true,false,true,false,true,false,Hayat,Sidani Bohsali
10918,CMPS,208,L2,Computing for Business,3,AS,48,3,08:00,08:50,BLISS,105,true,false,true,false,true,false,Hayat,Sidani Bohsali
10919,CMPS,208,L3,Computing for Business,3,AS,53,-2,10:00,10:50,BLISS,105,true,false,true,false,true,false,Hayat,Sidani Bohsali
