CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
11702,FSEC,320,1,Grad.Seminar in Food Security,0,AG,5,5,13:00,13:50,AGRIC,325,true,false,false,false,false,false,Rachel Anne,Bahn
11703,FSEC,396,1,Comprehensive Exam,0,AG,1,2,.,.,.,.,false,false,false,false,false,false,Ali,Chalak
11704,FSEC,396,2,Comprehensive Exam,0,AG,3,0,.,.,.,.,false,false,false,false,false,false,Rami,Zurayk
11705,FSEC,396,3,Comprehensive Exam,0,AG,0,3,.,.,.,.,false,false,false,false,false,false,Lamis,Jomaa
13111,FSEC,396,4,Comprehensive Exam,0,AG,0,2,.,.,.,.,false,false,false,false,false,false,Shady,Hamadeh
13474,FSEC,396,5,Comprehensive Exam,0,AG,0,4,.,.,.,.,false,false,false,false,false,false,Sandra,Yanni
13110,FSEC,397,1,Project,3,AG,1,1,.,.,.,.,false,false,false,false,false,false,Shady,Hamadeh
13268,FSEC,397,2,Project,3,AG,1,1,.,.,.,.,false,false,false,false,false,false,Rami,Zurayk
11706,FSEC,399,1,M.S.Thesis,7.2,AG,1,2,.,.,.,.,false,false,false,false,false,false,Rami,Zurayk
11707,FSEC,399,2,M.S.Thesis,7.2,AG,2,1,.,.,.,.,false,false,false,false,false,false,Lamis,Jomaa
11708,FSEC,399A,1,M.S.Thesis,0,AG,2,1,.,.,.,.,false,false,false,false,false,false,Rami,Zurayk
11709,FSEC,399A,2,M.S.Thesis,0,AG,1,1,.,.,.,.,false,false,false,false,false,false,Ali,Chalak
11710,FSEC,399B,1,M.S.Thesis,0,AG,0,3,.,.,.,.,false,false,false,false,false,false,Lamis,Jomaa
11711,FSEC,399B,2,M.S.Thesis,0,AG,0,5,.,.,.,.,false,false,false,false,false,false,Rami,Zurayk
13314,FSEC,399B,3,M.S.Thesis,0,AG,1,2,.,.,.,.,false,false,false,false,false,false,Ali,Chalak
13130,FSEC,399C,1,M.S.Thesis,0,AG,1,1,.,.,.,.,false,false,false,false,false,false,Shady,Hamadeh
